province,last_updated,date,change_cases,change_fatalities,change_tests,change_hospitalizations,change_criticals,change_recoveries,change_vaccinations,change_vaccinated,change_vaccines_distributed,total_cases,total_fatalities,total_tests,total_hospitalizations,total_criticals,total_recoveries,total_vaccinations,total_vaccinated,total_vaccines_distributed
,,2020-03-14,9,0,1448,0,0,0,0,,,73,1,9589,0,0,5,0,,
,,2020-03-15,,,1550,0,0,0,0,,,73,1,11139,0,0,5,0,,
,,2020-03-16,30,3,1771,6,0,0,0,,,103,4,12910,6,0,5,0,,
,,2020-03-17,83,3,3423,1,4,0,0,,,186,7,16333,7,4,5,0,,
,,2020-03-18,45,0,3023,6,3,0,0,,,231,7,19356,13,7,5,0,,
,,2020-03-19,40,1,1113,4,2,0,0,,,271,8,20469,17,9,5,0,,
,,2020-03-20,77,1,854,5,1,1,0,,,348,9,21323,22,10,6,0,,
,,2020-03-21,76,1,1524,5,2,0,0,,,424,10,22847,27,12,6,0,,
,,2020-03-22,48,0,2000,0,0,0,0,,,472,10,24847,27,12,6,0,,
,,2020-03-23,67,3,2052,6,2,94,0,,,539,13,26899,33,14,100,0,,
,,2020-03-24,78,0,1955,26,9,73,0,,,617,13,28854,59,23,173,0,,
,,2020-03-25,42,1,1889,5,3,10,0,,,659,14,30743,64,26,183,0,,
,,2020-03-26,66,0,2703,2,0,3,0,,,725,14,33446,66,26,186,0,,
,,2020-03-27,66,2,2589,7,0,89,0,,,791,16,36035,73,26,275,0,,
,,2020-03-28,92,1,2138,8,26,121,0,,,883,17,38173,81,52,396,0,,
,,2020-03-29,16,0,1787,0,0,0,0,,,899,17,39960,81,52,396,0,,
,,2020-03-30,70,2,1569,25,8,73,0,,,969,19,41529,106,60,469,0,,
,,2020-03-31,43,5,1005,22,1,38,0,,,1012,24,42534,128,61,507,0,,
,,2020-04-01,53,1,997,14,6,99,0,,,1065,25,43531,142,67,606,0,,
,,2020-04-02,55,6,1173,7,1,35,0,,,1120,31,44704,149,68,641,0,,
,,2020-04-03,53,4,1145,-3,-4,32,0,,,1173,35,45849,146,64,673,0,,
,,2020-04-04,29,3,1177,3,4,31,0,,,1202,38,47026,149,68,704,0,,
,,2020-04-05,27,0,1239,-12,0,0,0,,,1229,38,48265,137,68,704,0,,
,,2020-04-06,36,1,752,3,4,79,0,,,1265,39,49017,140,72,783,0,,
,,2020-04-07,25,4,837,-2,-6,22,0,,,1290,43,49854,138,66,805,0,,
,,2020-04-08,45,5,1084,-3,-5,33,0,,,1335,48,50938,135,61,838,0,,
,,2020-04-09,34,2,1200,-3,7,20,0,,,1369,50,52138,132,68,858,0,,
,,2020-04-10,40,5,1178,-4,-3,21,0,,,1409,55,53316,128,65,879,0,,
,,2020-04-11,35,3,1533,6,-2,26,0,,,1444,58,54849,134,63,905,0,,
,,2020-04-12,25,0,938,0,0,0,0,,,1469,58,55787,134,63,905,0,,
,,2020-04-13,20,11,844,3,-5,21,0,,,1489,69,56631,137,58,926,0,,
,,2020-04-14,27,3,834,-3,0,16,0,,,1516,72,57465,134,58,942,0,,
,,2020-04-15,44,3,748,-3,1,13,0,,,1560,75,58213,131,59,955,0,,
,,2020-04-16,14,3,1349,-11,-3,28,0,,,1574,78,59562,120,56,983,0,,
,,2020-04-17,43,0,1481,-1,-4,-17,0,,,1617,78,61043,119,52,966,0,,
,,2020-04-18,29,3,1305,-4,2,21,0,,,1646,81,62348,115,54,987,0,,
,,2020-04-19,29,3,1270,0,0,0,0,,,1675,84,63618,115,54,987,0,,
,,2020-04-20,22,2,990,-11,-5,52,0,,,1697,86,64608,104,49,1039,0,,
,,2020-04-21,25,1,1246,5,2,2,0,,,1722,87,65854,109,51,1041,0,,
,,2020-04-22,71,3,1485,-6,-5,38,0,,,1793,90,67339,103,46,1079,0,,
,,2020-04-23,29,4,1840,0,-2,13,0,,,1822,94,69179,103,44,1092,0,,
,,2020-04-24,29,4,2300,-7,-3,22,0,,,1851,98,71479,96,41,1114,0,,
,,2020-04-25,95,2,2536,0,0,23,0,,,1946,100,74015,96,41,1137,0,,
,,2020-04-26,39,0,2444,0,0,0,0,,,1985,100,76459,96,41,1137,0,,
,,2020-04-27,11,3,2209,1,-5,53,0,,,1996,103,78668,97,36,1190,0,,
,,2020-04-28,49,2,2108,-3,1,41,0,,,2045,105,80776,94,37,1231,0,,
,,2020-04-29,34,4,2767,-5,-2,74,0,,,2079,109,83543,89,35,1305,0,,
,,2020-04-30,25,2,2662,-7,-5,17,0,,,2104,111,86205,82,30,1322,0,,
,,2020-05-01,33,1,2641,-3,-6,35,0,,,2137,112,88846,79,24,1357,0,,
,,2020-05-02,26,2,2779,-7,-1,19,0,,,2163,114,91625,72,23,1376,0,,
,,2020-05-03,34,0,2667,0,0,0,0,,,2197,114,94292,72,23,1376,0,,
,,2020-05-04,19,3,2424,5,-3,41,0,,,2216,117,96716,77,20,1417,0,,
,,2020-05-05,8,4,1989,1,1,55,0,,,2224,121,98705,78,21,1472,0,,
,,2020-05-06,23,3,2100,-4,-2,22,0,,,2247,124,100805,74,19,1494,0,,
,,2020-05-07,31,2,2785,2,1,18,0,,,2278,126,103590,76,20,1512,0,,
,,2020-05-08,29,1,2658,-3,0,67,0,,,2307,127,106248,73,20,1579,0,,
,,2020-05-09,15,2,2099,-4,1,80,0,,,2322,129,108347,69,21,1659,0,,
,,2020-05-10,9,0,1841,0,0,0,0,,,2331,129,110188,69,21,1659,0,,
,,2020-05-11,14,1,1267,-3,-3,60,0,,,2345,130,111455,66,18,1719,0,,
,,2020-05-12,7,1,1192,-3,-2,113,0,,,2352,131,112647,63,16,1832,0,,
,,2020-05-13,16,1,1764,-4,-2,27,0,,,2368,132,114411,59,14,1859,0,,
,,2020-05-14,16,3,2074,-1,-2,26,0,,,2384,135,116485,58,12,1885,0,,
,,2020-05-15,15,5,2002,-7,0,23,0,,,2399,140,118487,51,12,1908,0,,
,,2020-05-16,21,1,1956,-2,-1,24,0,,,2420,141,120443,49,11,1932,0,,
,,2020-05-17,8,0,1718,0,0,0,0,,,2428,141,122161,49,11,1932,0,,
,,2020-05-18,8,2,1411,-2,1,34,0,,,2436,143,123572,47,12,1966,0,,
,,2020-05-19,2,3,1143,-2,0,9,0,,,2438,146,124715,45,12,1975,0,,
,,2020-05-20,21,3,1167,-2,-2,26,0,,,2459,149,125882,43,10,2001,0,,
,,2020-05-21,12,3,1779,0,-2,19,0,,,2471,152,127661,43,8,2020,0,,
,,2020-05-22,28,3,1909,-2,0,22,0,,,2499,155,129570,41,8,2042,0,,
,,2020-05-23,10,2,1871,-2,0,15,0,,,2509,157,131441,39,8,2057,0,,
,,2020-05-24,6,0,1829,0,0,0,0,,,2515,157,133270,39,8,2057,0,,
,,2020-05-25,7,4,1492,-2,-1,45,0,,,2522,161,134762,37,7,2102,0,,
,,2020-05-26,11,0,1203,0,0,20,0,,,2533,161,135965,37,7,2122,0,,
,,2020-05-27,9,1,1657,0,0,22,0,,,2542,162,137622,37,7,2144,0,,
,,2020-05-28,9,2,2074,-4,-1,9,0,,,2551,164,139696,33,6,2153,0,,
