County,Province_State,Country_Region,n,Population
Norfolk,Massachusetts,US,16,670850
Plymouth,Massachusetts,US,15,494919
Suffolk,Massachusetts,US,18,722023
Unassigned,Massachusetts,US,15,
Worcester,Massachusetts,US,15,798552
NA,Massachusetts,US,10,6547629
Genesee,Michigan,US,12,425790
Ingham,Michigan,US,8,280895
Jackson,Michigan,US,3,160248
Kent,Michigan,US,9,602622
Livingston,Michigan,US,8,180967
Macomb,Michigan,US,18,840978
Monroe,Michigan,US,5,152021
Oakland,Michigan,US,18,1202362
Out of MI,Michigan,US,2,
Saginaw,Michigan,US,5,200169
St. Clair,Michigan,US,3,163040
Unassigned,Michigan,US,8,
Washtenaw,Michigan,US,13,344791
Wayne,Michigan,US,18,1820584
NA,Michigan,US,3,9883640
Hennepin,Minnesota,US,16,1152425
Olmsted,Minnesota,US,2,144248
Ramsey,Minnesota,US,2,508640
NA,Minnesota,US,2,5303925
DeSoto,Mississippi,US,7,161252
Hinds,Mississippi,US,8,245285
Jackson,Mississippi,US,2,139668
NA,Mississippi,US,1,2967297
Jackson,Missouri,US,7,674158
Kansas City,Missouri,US,10,5988927
St. Charles,Missouri,US,7,360485
St. Louis,Missouri,US,15,998954
St. Louis City,Missouri,US,11,319294
Gallatin,Montana,US,5,89513
Douglas,Nebraska,US,8,517110
Clark,Nevada,US,18,1951269
Unassigned,Nevada,US,5,
Washoe,Nevada,US,11,421407
NA,Nevada,US,2,2700551
Hillsborough,New Hampshire,US,6,400721
Rockingham,New Hampshire,US,9,295223
Atlantic,New Jersey,US,4,274549
Bergen,New Jersey,US,18,905116
Burlington,New Jersey,US,12,448734
Camden,New Jersey,US,12,513657
Essex,New Jersey,US,18,783969
Gloucester,New Jersey,US,9,288288
Hudson,New Jersey,US,18,634266
Hunterdon,New Jersey,US,8,128349
Mercer,New Jersey,US,14,366513
Middlesex,New Jersey,US,18,809858
Monmouth,New Jersey,US,18,630380
Morris,New Jersey,US,18,492276
Ocean,New Jersey,US,18,576567
Passaic,New Jersey,US,17,501226
Somerset,New Jersey,US,16,323444
